title,text,source,author,label
Scientists publish climate findings,"Researchers at the National Oceanic and Atmospheric Administration published findings showing global temperatures rose 0.18°C this decade. The peer-reviewed study analyzed data from weather stations across 150 countries. The results were independently verified by three institutions.",reuters.com,Dr. Sarah Chen,REAL
New transit plan approved,"The City Council voted 7-2 to approve a $45 million transit improvement plan expanding bus rapid transit routes. The plan was developed over 18 months with input from 12000 residents through public consultations.",apnews.com,James Rodriguez,REAL
Economic data released,"The Bureau of Labor Statistics reported that unemployment fell to 3.7% in August, down from 3.9% in July. The report was based on surveys conducted with 60000 households nationwide.",bbc.co.uk,Economics Desk,REAL
SHOCKING SECRET EXPOSED,"BREAKING!!! You won't BELIEVE what Big Pharma has been hiding for DECADES!!! SECRET documents EXPOSED show the government has been SUPPRESSING a natural cure!!! SHARE THIS BEFORE IT GETS DELETED!!! The mainstream media REFUSES to cover this BOMBSHELL!!!",infowars.com,Anonymous,FAKE
Government HIDING alien truth,"EXCLUSIVE: Government sources have CONFIRMED alien contact for 30 YEARS!!! They don't want you to know the TRUTH!!! This OUTRAGEOUS cover-up involves EVERY major world leader!!! WAKE UP PEOPLE!!!",conspiracyworld.net,Insider Source,FAKE
Celebrity secretly Illuminati,"SHOCKING: Famous actor is SECRETLY working for the Illuminati!!! Anonymous sources CONFIRMED this BOMBSHELL!!! Share NOW before Big Tech CENSORS this CRITICAL information!!!",alternatenews.com,TruthSeeker99,FAKE
New vaccine approved,"The FDA announced approval of a new influenza vaccine following Phase 3 clinical trials involving 28000 participants across 14 countries. The trial results showed 78% efficacy with no significant adverse events reported.",nytimes.com,Medical Reporter,REAL
Water supply contamination update,"City officials confirmed elevated lead levels in the water supply affecting three neighborhoods. The utility has distributed 50000 water filters and established eight testing stations. Remediation is expected to take six months.",theguardian.com,Environment Desk,REAL
5G towers causing illness BOMBSHELL,"THEY ARE POISONING US!!! 5G towers are SECRETLY causing illness and the government KNOWS!!! Doctors are being SILENCED!!! Share this IMMEDIATELY before the truth is SUPPRESSED forever!!!",naturalfake.com,HealthTruthTeller,FAKE
Parliament passes new law,"Parliament passed legislation on healthcare reform with 312 votes in favor and 204 against. The bill includes provisions for expanding coverage to an additional 4 million citizens. Implementation begins next fiscal year.",bloomberg.com,Parliamentary Reporter,REAL
